Bowl,Date,Team,Money Line,Adjusted Probability,Multiplier,Bettor,Points Wagered,Potential Points,Expected Points,Actual Points,Correct Pick,,,
Non-playoff games,,,,,,,,,,,,,,
Alamo,2024-12-28,BYU,102,0.47,2.11,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Alamo,2024-12-28,Colorado,-122,0.53,1.90,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Citrus,2024-12-31,Illinois,310,0.23,4.28,Elmer Fudd,1,4.28,1.00,4.28,1.00,,,
Citrus,2024-12-31,South Carolina,-400,0.77,1.30,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Iowa State,-113,0.51,1.97,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Miami,-105,0.49,2.04,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
ReliaQuest,2024-12-31,Alabama,-250,0.68,1.47,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
ReliaQuest,2024-12-31,Michigan,200,0.32,3.14,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Play-in games,,,,,,,,,,,,,,
Austin,2024-12-21,Clemson,300,0.24,4.18,Elmer Fudd,2,8.35,2.00,0.00,0.00,,,
Austin,2024-12-21,Texas,-385,0.76,1.31,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,Penn State,-300,0.72,1.39,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,SMU,240,0.28,3.55,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Ohio State,-265,0.70,1.44,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Tennessee,215,0.30,3.29,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
SouthBend,2024-12-20,Indiana,230,0.29,3.46,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
SouthBend,2024-12-20,Notre Dame,-285,0.71,1.42,Elmer Fudd,3,4.25,3.00,4.25,1.00,,,
Quarterfinals,,,,,,,,,,,,,#,Elmer Fudd
Fiesta,2024-12-31,Boise State,320,0.23,4.41,Elmer Fudd,,0.00,0.00,0.00,0.00,,1,Used
Fiesta,2024-12-31,Penn State,-172,0.60,1.66,Elmer Fudd,4,6.64,4.00,6.64,1.00,,2,Used
Fiesta,2024-12-31,SMU,460,0.17,5.87,Elmer Fudd,,0.00,0.00,0.00,0.00,,3,Used
Peach,2025-01-01,Arizona State,320,0.23,4.39,Elmer Fudd,,0.00,0.00,0.00,0.00,,4,Used
Peach,2025-01-01,Clemson,640,0.13,7.74,Elmer Fudd,5,38.68,5.00,0.00,0.00,,5,Used
Peach,2025-01-01,Texas,-205,0.64,1.56,Elmer Fudd,,0.00,0.00,0.00,0.00,,6,Used
